record_type,case,name,decoder_stage,model_output_list_index,internal_stage_index,encoder_skip_index,upsampling_order,is_final_output,head_type,observed_raw_patch_shape,aligned_patch_shape,upsample_factor_to_final,prompt,threshold,gt_voxels,gt_volume_mm3,pred_voxels,pred_volume_mm3,pred_gt_volume_ratio,dice,iou,precision,recall,cc_count,cc_volume_median_voxels,cc_volume_median_mm3,small_cc_count_fraction,small_cc_voxel_fraction,small_component_max_voxels,lhs,rhs,pairwise_dice,fp_overlap,fp_overlap_dice,fn_overlap,fn_overlap_dice,intersection_voxels,union_voxels,mean_probability,d25_intersection_voxels,d25_union_voxels,majority_vote_voxels,independent_tp_voxels,independent_fp_voxels,independent_fn_recovery,r1_voxels,r1_volume_mm3,r1_tp_voxels,r1_fp_voxels,extra_precision,fn_recovery,merge_added_tp_voxels,merge_added_fp_voxels,merge_dice,merge_recall,merge_precision,delta_dice,delta_recall,delta_precision
layer,CYST_PA19,Decoder 1,1,4,0,4,1,False,intermediate_segmentation_conv,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,272203,1196204.7165981494,2649442,11643056.897805072,9.733331374011307,0.052660059658172026,0.02704204775306375,0.029035170424564872,0.2826089352431825,10,2269.5,9973.389728693292,0.1,2.415602983571635e-05,100,,,,,,,,76927,2844718,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA19,Decoder 2,2,3,1,3,2,False,intermediate_segmentation_conv,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",liver,0.5,272203,1196204.7165981494,212583,934202.7357104234,0.7809722890636768,0.7530539248245618,0.6039185974570803,0.8586528555905223,0.6705840861415928,1,212583.0,934202.7357104234,0.0,0.0,100,,,,,,,,182535,302251,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA19,Decoder 3,3,2,2,2,3,False,intermediate_segmentation_conv,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",liver,0.5,272203,1196204.7165981494,252883,1111302.3638515733,0.9290235596227815,0.8360116247624199,0.7182302182285821,0.8679468370748528,0.8063430601426141,1,252883.0,1111302.3638515733,0.0,0.0,100,,,,,,,,219489,305597,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA19,Decoder 4,4,1,3,1,4,False,intermediate_segmentation_conv,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",liver,0.5,272203,1196204.7165981494,264374,1161799.9277962372,0.9712383772405153,0.8618968013910399,0.7573098840636667,0.8746586275503643,0.8495020260614321,1,264374.0,1161799.9277962372,0.0,0.0,100,,,,,,,,231237,305340,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA19,Decoder 5,5,0,4,0,5,True,final_mask_einsum,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",liver,0.5,272203,1196204.7165981494,268505,1179953.738313634,0.9864145509050231,0.8877175850921385,0.7981044860496824,0.8938306549226271,0.881687564060646,2,134252.5,589976.869156817,0.5,7.448650863112419e-06,100,,,,,,,,239998,300710,,,,,,,,,,,,,,,,,,,,,
decoder1_extra,CYST_PA19,Decoder 1 extra R1,1,4,0,4,1,False,,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,272203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2584095,11355887.433781754,23725,2560370,0.009181164005193308,0.5714951094550536,18405,2559086,0.16573862027407488,0.9493025425877011,0.09079527870032143,-0.7219789648180637,0.06761497852705511,-0.8030353762223057
pairwise,CYST_PA19,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 3,0.8650599614150121,0.49977541902082695,0.6664670092367833,0.5473613284646148,0.707477068730598,21141,42301,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA19,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 4,0.8507181989152062,0.5078872634417584,0.6736408957822267,0.44176498504530554,0.6128113661068328,21282,41903,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA19,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 5,0.8219909870959159,0.37217912966044103,0.542464349756639,0.3487494466578132,0.517144896736767,15882,42673,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA19,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 4,0.9467788739446735,0.6917385002669921,0.8177841908283356,0.7175439561446931,0.8355465414175918,27204,39327,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA19,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 5,0.910795798905997,0.48958032534411394,0.6573399460428749,0.5409279790959735,0.7020808064155254,20345,41556,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA19,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 4,Decoder 5,0.94240906472201,0.5768955284968792,0.7316851599506846,0.675927622537792,0.8066310423528447,22552,39092,,,,,,,,,,,,,,,,,,,,,
independent_vs_final,CYST_PA19,Decoder 2,2,,,3,2,False,,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692,14166,0.021487346685297313,,,,,,,,,,,,,,
independent_vs_final,CYST_PA19,Decoder 3,3,,,2,3,False,,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395,13049,0.0743673342648657,,,,,,,,,,,,,,
independent_vs_final,CYST_PA19,Decoder 4,4,,,1,4,False,,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2694,10585,0.08365160689333954,,,,,,,,,,,,,,
independent_vs_final,CYST_PA19,Decoder 5,5,,,0,5,True,,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,
ensemble,CYST_PA19,d2_d5_intersection,,,,,,,,[],[],[],,0.5,272203,,193859,,,0.7703953551244255,0.6265390736242566,0.9260648203075431,0.6595298361884329,,,,,,,,,,,,,,179526,286536,0.04165208712220192,193859,294057,243323,,,,,,,,,,,,,,,,,
ensemble,CYST_PA19,d2_d5_union,,,,,,,,[],[],[],,0.5,272203,,294057,,,0.8595698089216968,0.7537241785128063,0.8276286570290794,0.8940753775674772,,,,,,,,,,,,,,243370,322890,0.04165208712220192,193859,294057,243323,,,,,,,,,,,,,,,,,
ensemble,CYST_PA19,d2_d5_majority_vote,,,,,,,,[],[],[],,0.5,272203,,243323,,,0.8456683077090196,0.7326042534885596,0.8958544814916798,0.8008067508440392,,,,,,,,,,,,,,217982,297544,0.04165208712220192,193859,294057,243323,,,,,,,,,,,,,,,,,
ensemble,CYST_PA19,d2_d5_average_probability,,,,,,,,[],[],[],,0.5,272203,,254569,,,0.8564654157776039,0.7489632824353981,0.8861291044864065,0.8287234159799856,,,,,,,,,,,,,,225581,301191,0.04165208712220192,193859,294057,243323,,,,,,,,,,,,,,,,,
layer,CYST_PA20,Decoder 1,1,4,0,4,1,False,intermediate_segmentation_conv,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,244817,970993.3692743612,1767813,7011501.248348833,7.220956877994584,0.08826759016808852,0.04617151946273141,0.05024569906432411,0.3628220262481772,4,1779.0,7055.871136151038,0.25,5.656706902822867e-07,100,,,,,,,,88825,1923805,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA20,Decoder 2,2,3,1,3,2,False,intermediate_segmentation_conv,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",liver,0.5,244817,970993.3692743612,203377,806634.0101500785,0.8307307090602368,0.7568999138765802,0.6088809117831823,0.8340126956342162,0.692839958009452,1,203377.0,806634.0101500785,0.0,0.0,100,,,,,,,,169619,278575,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA20,Decoder 3,3,2,2,2,3,False,intermediate_segmentation_conv,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",liver,0.5,244817,970993.3692743612,244040,967911.631290781,0.9968262007948795,0.8119838725844163,0.6834788298293645,0.8132765120472054,0.8106953356997267,2,122020.0,483955.8156453905,0.0,0.0,100,,,,,,,,198472,290385,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA20,Decoder 4,4,1,3,1,4,False,intermediate_segmentation_conv,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",liver,0.5,244817,970993.3692743612,257341,1020666.0674807443,1.051156578178803,0.8394847836736644,0.7233724916861429,0.8190572042542774,0.8609573681566232,7,50.0,198.31003755342996,0.5714285714285714,0.00022149599169972916,100,,,,,,,,210777,291381,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA20,Decoder 5,5,0,4,0,5,True,final_mask_einsum,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",liver,0.5,244817,970993.3692743612,265092,1051408.089502277,1.0828169612404368,0.8529874938469413,0.7436601512809641,0.8203680231768593,0.888308409955191,15,2.0,7.932401502137198,0.8666666666666667,0.00030555429813046035,100,,,,,,,,217473,292436,,,,,,,,,,,,,,,,,,,,,
decoder1_extra,CYST_PA20,Decoder 1 extra R1,1,4,0,4,1,False,,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,244817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679198,6660036.36879289,18303,1660895,0.010899846236119863,0.4965988882387361,13579,1658345,0.21179622821728336,0.9437743293970599,0.1192824426850372,-0.6411912656296579,0.05546591944186885,-0.7010855804918221
pairwise,CYST_PA20,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 3,0.8624705811357191,0.5300607580287395,0.6928623654287371,0.5316170169867432,0.6941905333914746,27481,51845,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA20,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 4,0.838634479225904,0.4975389663658737,0.6644754861681731,0.3948363042034833,0.5661399879162928,26686,53636,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA20,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 5,0.8210788760835829,0.45279751490698755,0.6233456627794094,0.3170894611778306,0.4815002633067426,25363,56014,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA20,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 4,0.9373470474549295,0.7574728649638518,0.8620023444622932,0.6225626740947076,0.7673819742489271,39709,52423,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA20,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 5,0.906904299867225,0.6227883811646698,0.7675534141028255,0.48228833504314766,0.6507348450922119,35763,57424,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA20,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 4,Decoder 5,0.9352931380674651,0.6701778652621873,0.8025227482666724,0.602924663794229,0.7522807246187931,37792,56391,,,,,,,,,,,,,,,,,,,,,
independent_vs_final,CYST_PA20,Decoder 2,2,,,3,2,False,,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2657,8395,0.09716939730836746,,,,,,,,,,,,,,
independent_vs_final,CYST_PA20,Decoder 3,3,,,2,3,False,,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3368,9805,0.12317144528964306,,,,,,,,,,,,,,
independent_vs_final,CYST_PA20,Decoder 4,4,,,1,4,False,,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4255,8772,0.15561000585137508,,,,,,,,,,,,,,
independent_vs_final,CYST_PA20,Decoder 5,5,,,0,5,True,,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,
ensemble,CYST_PA20,d2_d5_intersection,,,,,,,,[],[],[],,0.5,244817,,186863,,,0.7578947368421053,0.6101694915254238,0.8754221006833883,0.6681888921112504,,,,,,,,,,,,,,163584,268096,0.08201176673173904,186863,289160,234203,,,,,,,,,,,,,,,,,
ensemble,CYST_PA20,d2_d5_union,,,,,,,,[],[],[],,0.5,244817,,289160,,,0.8407103676750122,0.7251944158156095,0.776248443768156,0.9168480946993061,,,,,,,,,,,,,,224460,309517,0.08201176673173904,186863,289160,234203,,,,,,,,,,,,,,,,,
ensemble,CYST_PA20,d2_d5_majority_vote,,,,,,,,[],[],[],,0.5,244817,,234203,,,0.8215773871654628,0.6971839968254419,0.8401941905099423,0.8037677122095279,,,,,,,,,,,,,,196776,282244,0.08201176673173904,186863,289160,234203,,,,,,,,,,,,,,,,,
ensemble,CYST_PA20,d2_d5_average_probability,,,,,,,,[],[],[],,0.5,244817,,246506,,,0.8355440311159869,0.7175402535114765,0.8326815574468776,0.8384262530788303,,,,,,,,,,,,,,205261,286062,0.08201176673173904,186863,289160,234203,,,,,,,,,,,,,,,,,
layer,CYST_PA37,Decoder 1,1,4,0,4,1,False,intermediate_segmentation_conv,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,252346,1222608.4588415455,2994958,14510477.616745094,11.868458386501073,0.07612776629474789,0.03957007381312988,0.04127102951026358,0.4898234963106211,9,560.0,2713.182443752885,0.4444444444444444,2.9382715884496544e-05,100,,,,,,,,123605,3123699,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA37,Decoder 2,2,3,1,3,2,False,intermediate_segmentation_conv,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",liver,0.5,252346,1222608.4588415455,210367,1019221.5199017199,0.8336450746197681,0.7382373090879227,0.5850841163755451,0.8118954018453465,0.6768326028548105,1,210367.0,1019221.5199017199,0.0,0.0,100,,,,,,,,170796,291917,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA37,Decoder 3,3,2,2,2,3,False,intermediate_segmentation_conv,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",liver,0.5,252346,1222608.4588415455,255270,1236775.1471728552,1.0115872651042617,0.819942633801929,0.6948328592224582,0.8152466016374819,0.8246930801360037,2,127635.0,618387.5735864276,0.5,3.917420770164924e-06,100,,,,,,,,208108,299508,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA37,Decoder 4,4,1,3,1,4,False,intermediate_segmentation_conv,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",liver,0.5,252346,1222608.4588415455,266034,1288926.3897167053,1.0542429838396488,0.8504379026968633,0.7397929217499287,0.828559507431381,0.8735030474031686,3,30.0,145.3490594867617,0.6666666666666666,0.00011652645902403452,100,,,,,,,,220425,297955,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA37,Decoder 5,5,0,4,0,5,True,final_mask_einsum,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",liver,0.5,252346,1222608.4588415455,272541,1320452.600719384,1.0800290077908903,0.8919900854850663,0.8050379999312218,0.858942324274146,0.927682626235407,8,3.5,16.95739027345553,0.875,8.439097236746031e-05,100,,,,,,,,234097,290790,,,,,,,,,,,,,,,,,,,,,
decoder1_extra,CYST_PA37,Decoder 1 extra R1,1,4,0,4,1,False,,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,252346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2869650,13903364.28520619,12566,2857084,0.004378931228547035,0.24072551920653187,4393,2854933,0.1409426652518621,0.9450912635825415,0.07614946611717548,-0.7510474202332043,0.017408637347134492,-0.7827928581569705
pairwise,CYST_PA37,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 3,0.8445334026290866,0.5370833111808176,0.6988343537062018,0.46215810947471203,0.632158870480491,30306,56427,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA37,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 4,0.8239823174174697,0.46920330475878363,0.6387180089222823,0.3625894615495461,0.5322064668505609,27203,57977,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA37,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 5,0.7909084131967166,0.3679642293529721,0.5379734666410305,0.21169699986644488,0.3494223389011914,20985,57030,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA37,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 4,0.9356958703558768,0.671700153166952,0.8036131980899204,0.665369224377337,0.7990651137751283,37276,55495,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA37,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 5,0.8923535129051876,0.49545803927049126,0.6626171062775974,0.38211939572228,0.5529470129786995,28362,57244,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA37,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 4,Decoder 5,0.9334670194494732,0.6352723735408561,0.7769621548308805,0.49191150231949565,0.6594379111022524,32653,51400,,,,,,,,,,,,,,,,,,,,,
independent_vs_final,CYST_PA37,Decoder 2,2,,,3,2,False,,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,18586,0.04455038632253822,,,,,,,,,,,,,,
independent_vs_final,CYST_PA37,Decoder 3,3,,,2,3,False,,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973,18800,0.05331799002685079,,,,,,,,,,,,,,
independent_vs_final,CYST_PA37,Decoder 4,4,,,1,4,False,,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707,12956,0.09353937202038468,,,,,,,,,,,,,,
independent_vs_final,CYST_PA37,Decoder 5,5,,,0,5,True,,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,
ensemble,CYST_PA37,d2_d5_intersection,,,,,,,,[],[],[],,0.5,252346,,185543,,,0.7573197773865066,0.6094245032674453,0.8936526842834276,0.657077980233489,,,,,,,,,,,,,,165811,272078,0.043703243136405945,185543,304190,243515,,,,,,,,,,,,,,,,,
ensemble,CYST_PA37,d2_d5_union,,,,,,,,[],[],[],,0.5,252346,,304190,,,0.8485165380137134,0.7368899042197609,0.7762089483546468,0.9356795827950513,,,,,,,,,,,,,,236115,320421,0.043703243136405945,185543,304190,243515,,,,,,,,,,,,,,,,,
ensemble,CYST_PA37,d2_d5_majority_vote,,,,,,,,[],[],[],,0.5,252346,,243515,,,0.8425950014217694,0.7280035963701752,0.8578732316284418,0.8278514420676373,,,,,,,,,,,,,,208905,286956,0.043703243136405945,185543,304190,243515,,,,,,,,,,,,,,,,,
ensemble,CYST_PA37,d2_d5_average_probability,,,,,,,,[],[],[],,0.5,252346,,255454,,,0.8486411973217802,0.737077959839907,0.8434786693494719,0.8538673091707417,,,,,,,,,,,,,,215470,292330,0.043703243136405945,185543,304190,243515,,,,,,,,,,,,,,,,,
layer,CYST_PA38,Decoder 1,1,4,0,4,1,False,intermediate_segmentation_conv,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,236039,1106432.8125,1689100,7917656.25,7.156020827066714,0.01284998122213513,0.006466538057372293,0.007322834645669292,0.052402357237575144,4,5964.0,27956.25,0.0,0.0,100,,,,,,,,12369,1912770,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA38,Decoder 2,2,3,1,3,2,False,intermediate_segmentation_conv,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",liver,0.5,236039,1106432.8125,208788,978693.75,0.884548739826893,0.8836873660996297,0.7916127966876508,0.941356782956875,0.8326759560920017,1,208788.0,978693.75,0.0,0.0,100,,,,,,,,196544,248283,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA38,Decoder 3,3,2,2,2,3,False,intermediate_segmentation_conv,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",liver,0.5,236039,1106432.8125,227656,1067137.5,0.9644846826160084,0.9219077195139046,0.855128764207671,0.9388814702885054,0.9055367968852605,1,227656.0,1067137.5,0.0,0.0,100,,,,,,,,213742,249953,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA38,Decoder 4,4,1,3,1,4,False,intermediate_segmentation_conv,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",liver,0.5,236039,1106432.8125,228338,1070334.375,0.9673740356466516,0.9365278642137745,0.8806322541976138,0.9523206824970001,0.9212503018568965,1,228338.0,1070334.375,0.0,0.0,100,,,,,,,,217451,246926,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA38,Decoder 5,5,0,4,0,5,True,final_mask_einsum,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",liver,0.5,236039,1106432.8125,228813,1072560.9375,0.9693864149568504,0.9581200037861513,0.919606871489924,0.9732488975713792,0.9434542596774262,1,228813.0,1072560.9375,0.0,0.0,100,,,,,,,,222692,242160,,,,,,,,,,,,,,,,,,,,,
decoder1_extra,CYST_PA38,Decoder 1 extra R1,1,4,0,4,1,False,,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,236039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676445,7858335.9375,836,1675609,0.00049867427801091,0.051921780175320294,693,1675589,0.20866045749588769,0.9463902151763056,0.11725661974862146,-0.7494595462902636,0.0029359554988793723,-0.8559922778227578
pairwise,CYST_PA38,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 3,0.9322478943461245,0.4728603603603604,0.6420980197262788,0.5071219512195122,0.6729673744174003,8398,17760,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA38,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 4,0.9232440989554499,0.3874992501949493,0.55855777960313,0.42668009432108467,0.5981440352598867,6460,16671,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA38,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 5,0.905020783773346,0.2343728995832773,0.37974407841001906,0.27308646734285785,0.42901479883426064,3487,14878,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA38,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 4,0.9751707259306044,0.6471408647140865,0.785774767146486,0.7437198788757624,0.8530267824385471,9744,15057,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA38,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 5,0.9506143900242952,0.35655765454668564,0.5256800598951834,0.46430038616383207,0.6341600269330041,5266,14769,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA38,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 4,Decoder 5,0.9670983985597756,0.47434119278779474,0.6434619002822202,0.5611556511536957,0.7188977610771881,5472,11536,,,,,,,,,,,,,,,,,,,,,
independent_vs_final,CYST_PA38,Decoder 2,2,,,3,2,False,,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,8757,0.1507454858769761,,,,,,,,,,,,,,
independent_vs_final,CYST_PA38,Decoder 3,3,,,2,3,False,,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2045,8648,0.1532179515996104,,,,,,,,,,,,,,
independent_vs_final,CYST_PA38,Decoder 4,4,,,1,4,False,,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868,5415,0.1399565445418446,,,,,,,,,,,,,,
independent_vs_final,CYST_PA38,Decoder 5,5,,,0,5,True,,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,
ensemble,CYST_PA38,d2_d5_intersection,,,,,,,,[],[],[],,0.5,236039,,196802,,,0.8935567564070871,0.8075938477471947,0.9826322903222529,0.8192883379441533,,,,,,,,,,,,,,193384,239457,0.0579073466360569,196802,244635,221033,,,,,,,,,,,,,,,,,
ensemble,CYST_PA38,d2_d5_union,,,,,,,,[],[],[],,0.5,236039,,244635,,,0.937812321864715,0.8829064215008442,0.921335867721299,0.9548888107473765,,,,,,,,,,,,,,225391,255283,0.0579073466360569,196802,244635,221033,,,,,,,,,,,,,,,,,
ensemble,CYST_PA38,d2_d5_majority_vote,,,,,,,,[],[],[],,0.5,236039,,221033,,,0.931861938600483,0.8724171268454947,0.963494138884239,0.9022407314045561,,,,,,,,,,,,,,212964,244108,0.0579073466360569,196802,244635,221033,,,,,,,,,,,,,,,,,
ensemble,CYST_PA38,d2_d5_average_probability,,,,,,,,[],[],[],,0.5,236039,,225667,,,0.9359722420761264,0.879650211289968,0.9574815989932068,0.915408046975288,,,,,,,,,,,,,,216072,245634,0.0579073466360569,196802,244635,221033,,,,,,,,,,,,,,,,,
layer,CYST_PA53,Decoder 1,1,4,0,4,1,False,intermediate_segmentation_conv,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,384334,1801565.625,1656700,7765781.25,4.310573615657215,0.031468363584340096,0.015985703761224938,0.01938431822297338,0.0835575306894524,6,3206.0,15028.125,0.16666666666666666,4.345989014305547e-05,100,,,,,,,,32114,2008920,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA53,Decoder 2,2,3,1,3,2,False,intermediate_segmentation_conv,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",liver,0.5,384334,1801565.625,366633,1718592.1875,0.9539437052147351,0.906764212009316,0.8294315114545472,0.9286534490894164,0.8858831120848012,1,366633.0,1718592.1875,0.0,0.0,100,,,,,,,,340475,410492,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA53,Decoder 3,3,2,2,2,3,False,intermediate_segmentation_conv,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",liver,0.5,384334,1801565.625,393265,1843429.6875,1.02323760062862,0.928481132305983,0.866509363763364,0.9179382858886501,0.9392689691778505,2,196632.5,921714.84375,0.5,7.628443924580118e-06,100,,,,,,,,360993,416606,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA53,Decoder 4,4,1,3,1,4,False,intermediate_segmentation_conv,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",liver,0.5,384334,1801565.625,398655,1868695.3125,1.0372618607773447,0.9379058965068475,0.8830723129166627,0.9210595627798472,0.9553799559757918,2,199327.5,934347.65625,0.5,9.532051523246917e-05,100,,,,,,,,367185,415804,,,,,,,,,,,,,,,,,,,,,
