record_type,case,name,decoder_stage,model_output_list_index,internal_stage_index,encoder_skip_index,upsampling_order,is_final_output,head_type,observed_raw_patch_shape,aligned_patch_shape,upsample_factor_to_final,prompt,threshold,gt_voxels,gt_volume_mm3,pred_voxels,pred_volume_mm3,pred_gt_volume_ratio,dice,iou,precision,recall,cc_count,cc_volume_median_voxels,cc_volume_median_mm3,small_cc_count_fraction,small_cc_voxel_fraction,small_component_max_voxels,lhs,rhs,pairwise_dice,fp_overlap,fp_overlap_dice,fn_overlap,fn_overlap_dice,intersection_voxels,union_voxels,mean_probability,d25_intersection_voxels,d25_union_voxels,majority_vote_voxels,independent_tp_voxels,independent_fp_voxels,independent_fn_recovery,r1_voxels,r1_volume_mm3,r1_tp_voxels,r1_fp_voxels,extra_precision,fn_recovery,merge_added_tp_voxels,merge_added_fp_voxels,merge_dice,merge_recall,merge_precision,delta_dice,delta_recall,delta_precision
layer,CYST_PA74,Decoder 1,1,4,0,4,1,False,intermediate_segmentation_conv,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,271555,1077005.3173094639,2626290,10416042.034934625,9.67130047320064,0.07430625171463622,0.03858674401409801,0.04099471117051049,0.3964721695420817,12,222.0,880.4668683791533,0.4166666666666667,5.901861561366033e-05,100,,,,,,,,107664,2790181,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA74,Decoder 2,2,3,1,3,2,False,intermediate_segmentation_conv,"[24, 24, 24]","[192, 192, 192]","[8.0, 8.0, 8.0]",liver,0.5,271555,1077005.3173094639,214612,851165.565570211,0.7903076724788717,0.8250539423695973,0.7022058051188684,0.9345097198665498,0.7385502016166154,1,214612.0,851165.565570211,0.0,0.0,100,,,,,,,,200557,285610,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA74,Decoder 3,3,2,2,2,3,False,intermediate_segmentation_conv,"[48, 48, 48]","[192, 192, 192]","[4.0, 4.0, 4.0]",liver,0.5,271555,1077005.3173094639,262820,1042361.7222856265,0.9678334039144925,0.8964566081871345,0.8123437780860293,0.9113537782512746,0.8820386293752647,1,262820.0,1042361.7222856265,0.0,0.0,100,,,,,,,,239522,294853,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA74,Decoder 4,4,1,3,1,4,False,intermediate_segmentation_conv,"[96, 96, 96]","[192, 192, 192]","[2.0, 2.0, 2.0]",liver,0.5,271555,1077005.3173094639,278365,1104014.2334070406,1.0250777927123418,0.9097250509164969,0.8343996637556624,0.8985971655919387,0.9211319990425513,1,278365.0,1104014.2334070406,0.0,0.0,100,,,,,,,,250138,299782,,,,,,,,,,,,,,,,,,,,,
layer,CYST_PA74,Decoder 5,5,0,4,0,5,True,final_mask_einsum,"[192, 192, 192]","[192, 192, 192]","[1.0, 1.0, 1.0]",liver,0.5,271555,1077005.3173094639,283931,1126089.3621881143,1.0455745613227523,0.9353647076613992,0.8785775883934459,0.9149793435729103,0.9566791257756255,5,3.0,11.898200924042612,0.8,3.874180698831759e-05,100,,,,,,,,259791,295695,,,,,,,,,,,,,,,,,,,,,
decoder1_extra,CYST_PA74,Decoder 1 extra R1,1,4,0,4,1,False,,"[12, 12, 12]","[192, 192, 192]","[16.0, 16.0, 16.0]",liver,0.5,271555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520042,9994655.351008732,9312,2510730,0.0036951765089629457,0.42171030261815706,4961,2510214,0.1724397450581487,0.9749479847544696,0.0945844851891997,-0.7629249626032505,0.018268858978844116,-0.8203948583837106
pairwise,CYST_PA74,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 3,0.8654426180063339,0.37818691657750064,0.5488180333574277,0.3699109161015822,0.5400510525958206,10250,27103,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA74,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 4,0.8493215707832211,0.33969139127404074,0.5071188685492645,0.26720875383940323,0.42172807444678895,10721,31561,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA74,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 2,Decoder 5,0.8289435414798724,0.2435697076251872,0.3917266657939521,0.14305839456383626,0.2503081124187429,7481,30714,,,,,,,,,,,,,,,,,,,,,
pairwise,CYST_PA74,,,,,,,,,[],[],[],,0.5,,,,,,,,,,,,,,,,Decoder 3,Decoder 4,0.9524875966628786,0.6342097751276603,0.776166909267346,0.5806594706491203,0.7347053320860617,19996,31529,,,,,,,,,,,,,,,,,,,,,
